,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[1309],0.007,0.015,-0.018,0.038,0.0,0.0,3412.0,1859.0,1.0
beta[1310],0.003,0.014,-0.025,0.028,0.0,0.0,2890.0,1980.0,1.0
beta[1311],-0.032,0.027,-0.082,0.008,0.001,0.0,2392.0,2121.0,1.0
beta[1312],-0.016,0.019,-0.052,0.016,0.0,0.0,2248.0,1653.0,1.0
beta[1313],0.002,0.013,-0.021,0.029,0.0,0.0,4036.0,1935.0,1.0
beta[1314],0.006,0.014,-0.018,0.034,0.0,0.0,3666.0,2346.0,1.0
beta[1315],0.002,0.013,-0.021,0.029,0.0,0.0,4501.0,2120.0,1.01
beta[1316],-0.008,0.015,-0.039,0.017,0.0,0.0,3632.0,2399.0,1.0
beta[1317],-0.007,0.013,-0.037,0.015,0.0,0.0,2888.0,1888.0,1.0
beta[1318],0.001,0.013,-0.026,0.024,0.0,0.0,3856.0,1810.0,1.0
beta[1319],-0.004,0.013,-0.029,0.022,0.0,0.0,3415.0,1594.0,1.0
beta[1320],-0.005,0.014,-0.031,0.022,0.0,0.0,2916.0,1780.0,1.0
beta[1321],0.005,0.013,-0.02,0.032,0.0,0.0,3647.0,2024.0,1.0
beta[1322],-0.006,0.014,-0.035,0.02,0.0,0.0,2838.0,1557.0,1.0
beta[1323],0.0,0.013,-0.025,0.025,0.0,0.0,3793.0,1983.0,1.0
beta[1324],-0.008,0.015,-0.039,0.017,0.0,0.0,2898.0,2131.0,1.0
beta[1325],-0.002,0.013,-0.028,0.023,0.0,0.0,3572.0,1948.0,1.0
beta[1326],0.005,0.014,-0.022,0.034,0.0,0.0,3443.0,1655.0,1.0
beta[1327],0.003,0.012,-0.02,0.029,0.0,0.0,3449.0,2024.0,1.0
beta[1328],0.0,0.013,-0.025,0.027,0.0,0.0,3449.0,2192.0,1.0
beta[1329],0.001,0.013,-0.022,0.027,0.0,0.0,3915.0,2277.0,1.0
beta[1330],0.009,0.015,-0.018,0.037,0.0,0.0,3094.0,1645.0,1.0
beta[1331],0.007,0.015,-0.018,0.037,0.0,0.0,2766.0,1714.0,1.0
beta[1332],-0.002,0.013,-0.029,0.021,0.0,0.0,3702.0,2069.0,1.0
beta[1333],-0.003,0.013,-0.034,0.018,0.0,0.0,4018.0,1795.0,1.0
beta[1334],-0.009,0.015,-0.039,0.016,0.0,0.0,3222.0,1938.0,1.0
beta[1335],0.001,0.013,-0.024,0.027,0.0,0.0,4541.0,2609.0,1.0
beta[1336],0.003,0.014,-0.025,0.031,0.0,0.0,3107.0,1822.0,1.0
beta[1337],-0.001,0.013,-0.03,0.023,0.0,0.0,4420.0,2431.0,1.0
beta[1338],0.003,0.013,-0.022,0.029,0.0,0.0,3608.0,1810.0,1.0
beta[1339],-0.002,0.013,-0.026,0.023,0.0,0.0,3704.0,1874.0,1.0
beta[1340],0.001,0.013,-0.024,0.028,0.0,0.0,4032.0,1910.0,1.0
beta[1341],-0.003,0.013,-0.029,0.021,0.0,0.0,3304.0,1944.0,1.0
beta[1342],-0.006,0.014,-0.033,0.019,0.0,0.0,4035.0,2078.0,1.0
beta[1343],-0.001,0.013,-0.027,0.025,0.0,0.0,3629.0,2178.0,1.0
beta[1344],0.0,0.013,-0.028,0.025,0.0,0.0,4186.0,2320.0,1.0
beta[1345],0.002,0.014,-0.025,0.033,0.0,0.0,3088.0,1735.0,1.0
beta[1346],-0.0,0.013,-0.025,0.025,0.0,0.0,3365.0,1980.0,1.0
beta[1347],-0.002,0.013,-0.028,0.021,0.0,0.0,4112.0,2440.0,1.01
beta[1348],0.006,0.014,-0.019,0.034,0.0,0.0,3898.0,2490.0,1.0
beta[1349],0.01,0.015,-0.015,0.041,0.0,0.0,3606.0,2671.0,1.0
beta[1350],0.018,0.019,-0.012,0.055,0.0,0.0,3014.0,2273.0,1.0
beta[1351],0.025,0.021,-0.009,0.065,0.0,0.0,3185.0,2415.0,1.0
beta[1352],-0.009,0.015,-0.039,0.017,0.0,0.0,3324.0,2159.0,1.0
beta[1353],0.005,0.013,-0.016,0.033,0.0,0.0,3109.0,2090.0,1.0
beta[1354],-0.004,0.013,-0.03,0.019,0.0,0.0,3741.0,2327.0,1.0
beta[1355],-0.004,0.014,-0.033,0.022,0.0,0.0,3700.0,2087.0,1.0
beta[1356],0.006,0.014,-0.021,0.034,0.0,0.0,3146.0,2058.0,1.0
beta[1357],-0.002,0.012,-0.027,0.022,0.0,0.0,3588.0,1993.0,1.0
beta[1358],-0.011,0.015,-0.039,0.017,0.0,0.0,3240.0,1852.0,1.0
beta[1359],0.01,0.015,-0.015,0.041,0.0,0.0,2817.0,1967.0,1.0
beta[1360],0.015,0.017,-0.011,0.05,0.0,0.0,3063.0,2025.0,1.0
beta[1361],-0.001,0.013,-0.025,0.025,0.0,0.0,4362.0,2042.0,1.0
beta[1362],-0.011,0.015,-0.042,0.014,0.0,0.0,3088.0,1976.0,1.0
beta[1363],-0.007,0.015,-0.038,0.018,0.0,0.0,3781.0,2230.0,1.0
beta[1364],0.007,0.014,-0.018,0.035,0.0,0.0,3345.0,1981.0,1.0
beta[1365],-0.004,0.013,-0.03,0.022,0.0,0.0,3475.0,1692.0,1.0
beta[1366],-0.009,0.015,-0.043,0.016,0.0,0.0,3514.0,2044.0,1.0
beta[1367],-0.001,0.013,-0.027,0.025,0.0,0.0,3546.0,1941.0,1.0
beta[1368],-0.001,0.012,-0.025,0.02,0.0,0.0,4161.0,2095.0,1.0
beta[1369],0.005,0.013,-0.019,0.031,0.0,0.0,3757.0,2285.0,1.0
beta[1370],-0.017,0.018,-0.052,0.012,0.0,0.0,3314.0,2362.0,1.0
beta[1371],0.008,0.014,-0.015,0.039,0.0,0.0,3169.0,1879.0,1.0
beta[1372],0.001,0.012,-0.02,0.028,0.0,0.0,4418.0,2118.0,1.0
beta[1373],0.003,0.013,-0.022,0.03,0.0,0.0,4410.0,2165.0,1.0
beta[1374],-0.005,0.013,-0.034,0.016,0.0,0.0,3626.0,2161.0,1.0
beta[1375],0.004,0.013,-0.022,0.029,0.0,0.0,4820.0,1884.0,1.0
beta[1376],-0.019,0.021,-0.06,0.014,0.0,0.0,2933.0,1967.0,1.0
beta[1377],0.001,0.012,-0.024,0.023,0.0,0.0,4016.0,1795.0,1.0
beta[1378],0.006,0.013,-0.016,0.034,0.0,0.0,3408.0,2148.0,1.01
beta[1379],0.002,0.012,-0.021,0.028,0.0,0.0,3611.0,2034.0,1.0
beta[1380],-0.011,0.015,-0.041,0.013,0.0,0.0,2827.0,1915.0,1.0
beta[1381],0.019,0.02,-0.01,0.058,0.0,0.0,2165.0,2048.0,1.0
beta[1382],0.001,0.012,-0.024,0.024,0.0,0.0,2809.0,1760.0,1.0
beta[1383],0.031,0.023,-0.005,0.075,0.0,0.0,2851.0,2803.0,1.0
beta[1384],-0.007,0.015,-0.039,0.019,0.0,0.0,3810.0,1550.0,1.0
beta[1385],-0.0,0.013,-0.026,0.024,0.0,0.0,3796.0,2541.0,1.0
beta[1386],-0.009,0.016,-0.038,0.022,0.0,0.0,2983.0,1571.0,1.0
beta[1387],-0.003,0.013,-0.03,0.021,0.0,0.0,4055.0,2086.0,1.0
