,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[142],0.001,0.015,-0.028,0.028,0.0,0.0,6163.0,2844.0,1.0
beta[143],0.004,0.014,-0.023,0.03,0.0,0.0,5171.0,3108.0,1.0
beta[144],-0.006,0.014,-0.033,0.02,0.0,0.0,4787.0,2721.0,1.0
beta[145],0.001,0.015,-0.027,0.03,0.0,0.0,6391.0,2987.0,1.0
beta[146],-0.004,0.014,-0.031,0.022,0.0,0.0,5322.0,3073.0,1.0
beta[147],-0.005,0.014,-0.031,0.022,0.0,0.0,4352.0,3064.0,1.0
beta[148],-0.007,0.014,-0.034,0.02,0.0,0.0,5666.0,2963.0,1.0
beta[149],0.001,0.015,-0.025,0.029,0.0,0.0,5814.0,2966.0,1.0
beta[150],0.009,0.015,-0.02,0.036,0.0,0.0,6897.0,3038.0,1.0
beta[151],-0.002,0.015,-0.03,0.024,0.0,0.0,5274.0,2948.0,1.0
beta[152],0.003,0.014,-0.023,0.028,0.0,0.0,6015.0,3470.0,1.0
beta[153],-0.004,0.015,-0.032,0.024,0.0,0.0,6163.0,3010.0,1.0
beta[154],0.0,0.014,-0.025,0.028,0.0,0.0,6295.0,3068.0,1.0
beta[155],0.005,0.015,-0.023,0.032,0.0,0.0,4725.0,2666.0,1.0
beta[156],-0.0,0.015,-0.029,0.027,0.0,0.0,5467.0,3012.0,1.0
beta[157],0.0,0.015,-0.03,0.026,0.0,0.0,5110.0,2463.0,1.0
beta[158],-0.002,0.015,-0.032,0.024,0.0,0.0,6368.0,2944.0,1.0
beta[159],0.002,0.014,-0.025,0.029,0.0,0.0,5319.0,2962.0,1.0
beta[160],0.007,0.015,-0.023,0.034,0.0,0.0,5565.0,2536.0,1.0
beta[161],-0.004,0.014,-0.031,0.024,0.0,0.0,6045.0,2823.0,1.0
beta[162],-0.001,0.015,-0.028,0.027,0.0,0.0,4875.0,2982.0,1.0
beta[163],0.005,0.015,-0.022,0.033,0.0,0.0,5645.0,2702.0,1.0
